5529, 0, p
5679, 0, r
5862, 0, p
5979, 0, r
6663, 0, p
6762, 0, r
7212, 0, p
7312, 0, r
7646, 0, p
7829, 0, r
8246, 0, p
8396, 0, r
8829, 0, p
8996, 0, r
9396, 0, p
9612, 0, r
10146, 3, p
14129, 3, r
14663, 3, p
14779, 3, r
15496, 3, p
15630, 3, r
16146, 3, p
16363, 3, r
16680, 3, p
16796, 3, r
17046, 3, p
17346, 3, r
17596, 3, p
17796, 3, r
18180, 3, p
18396, 3, r
18763, 3, p
19313, 0, p
19480, 0, r
20497, 0, p
21147, 0, r
21663, 0, p
21847, 0, r
22263, 0, p
22430, 0, r
22780, 0, p
23197, 0, r
23197, 3, r
23463, 0, p
23613, 0, r
24030, 0, p
24530, 0, r
24680, 0, p
25113, 0, r
25630, 0, p
25830, 0, r
26364, 0, p
26680, 0, r
27097, 0, p
27214, 0, r
27380, 0, p
27480, 0, r
27647, 0, p
27880, 0, r
28197, 0, p
28497, 0, r
28830, 2, p
29214, 2, r
29614, 2, p
29764, 2, r
30197, 2, p
30330, 2, r
31297, 2, p
31530, 2, r
32164, 2, p
32464, 2, r
32881, 0, p
33164, 0, r
33464, 2, p
33964, 2, r
34047, 1, p
34214, 1, r
34364, 1, p
34697, 1, r
34964, 1, p
35281, 1, r
36064, 1, p
36464, 1, r
37031, 1, p
37631, 2, p
38081, 2, r
38114, 1, r
38281, 0, p
38814, 0, r
39014, 0, p
39348, 0, r
39914, 0, p
40231, 0, r
40864, 0, p
41031, 0, r
41564, 0, p
41948, 0, r
42281, 0, p
42764, 0, r
42881, 1, p
43531, 2, p
43931, 1, r
43931, 2, r
44014, 0, p
44548, 0, r
44631, 2, p
45299, 2, r
45299, 0, p
45748, 0, r
46398, 2, p
47431, 2, r
47548, 0, p
48031, 0, r
48448, 0, p
48748, 0, r
49248, 0, p
49565, 0, r
50148, 0, p
50415, 0, r
50982, 0, p
51282, 0, r
52232, 0, p
52715, 0, r
53098, 0, p
53448, 0, r
53915, 0, p
54215, 0, r
54882, 0, p
55248, 0, r
55648, 2, p
56298, 2, r
56982, 2, p
57299, 2, r
57765, 2, p
58049, 2, r
58732, 2, p
59249, 2, r
59532, 2, p
59682, 2, r
59849, 2, p
60016, 2, r
60266, 2, p
60415, 2, r
60815, 2, p
61088, 2, r
61615, 3, p
61616, 0, p
62249, 0, r
62266, 3, r
62382, 1, p
62432, 2, p
63616, 1, r
63632, 2, r
64066, 0, p
64632, 1, p
65249, 2, p
65666, 3, p
65999, 2, r
66016, 3, r
66032, 1, r
66066, 0, r
66199, 3, p
66916, 3, r
67066, 3, p
67699, 2, p
68232, 1, p
68616, 0, p
68983, 1, r
69016, 0, r
69116, 0, p
69449, 1, p
69650, 0, r
69699, 1, r
69766, 0, p
69916, 0, r
70066, 0, p
70316, 0, r
70366, 1, p
70549, 1, r
70783, 2, r
70783, 3, r
71199, 3, p
72433, 2, p
73000, 2, r
73233, 3, r
73766, 2, p
74466, 2, r
74616, 0, p
74933, 0, r
75200, 1, p
75500, 1, r
75933, 2, p
76300, 2, r
76800, 2, p
77550, 0, p
77633, 2, r
77816, 1, p
78000, 0, r
78166, 1, r
78250, 2, p
78433, 2, r
79166, 2, p
79316, 2, r
79817, 2, p
80183, 2, r
80500, 0, p
80517, 3, p
81200, 2, p
81200, 1, p
81900, 3, r
81917, 0, r
81917, 1, r
81917, 2, r
82900, 1, p
82917, 2, p
83450, 0, p
83500, 3, p
83633, 0, r
83667, 2, r
83667, 3, r
83667, 1, r
83783, 1, p
83783, 2, p
84200, 2, r
84250, 1, r
84400, 0, p
84417, 3, p
85167, 2, p
85167, 1, p
85817, 1, r
85934, 1, p
86350, 1, r
86417, 2, r
86517, 2, p
86750, 2, r
86817, 1, p
87117, 2, p
87200, 1, r
87350, 1, p
87384, 2, r
87517, 1, r
87850, 2, p
88117, 1, p
88167, 2, r
88467, 2, p
88484, 1, r
88650, 2, r
88750, 0, r
88751, 3, r
89984, 3, p
90817, 2, p
91684, 1, p
92517, 1, r
92601, 1, p
92651, 0, p
93201, 1, r
93217, 3, r
93217, 0, r
93234, 2, r
93468, 0, p
94417, 1, p
95134, 2, p
96234, 3, p
96801, 3, r
96901, 1, r
96918, 0, r
97017, 2, r
97534, 2, p
98051, 3, p
98651, 0, p
99334, 3, r
99401, 0, r
99468, 2, r
99801, 1, p
100351, 1, r
100651, 1, p
101134, 1, r
101318, 1, p
101668, 1, r
101901, 1, p
102184, 3, p
102284, 1, r
102551, 3, r
102819, 3, p
103318, 3, r
103351, 0, p
103918, 2, p
104235, 2, r
104351, 0, r
104484, 0, p
105651, 1, p
106451, 1, r
106468, 0, r
106785, 2, p
107468, 3, p
107985, 1, p
108768, 0, p
109035, 1, r
109068, 0, r
109102, 2, r
109102, 3, r
109201, 0, p
109735, 0, r
110018, 0, p
110368, 0, r
110668, 0, p
111035, 0, r
111235, 0, p
111524, 1, p
111735, 0, r
111735, 1, r
112185, 1, p
112668, 1, r
112785, 0, p
113235, 0, r
113352, 0, p
113718, 0, r
113935, 2, p
114052, 2, r
114518, 3, p
114919, 3, r
115085, 3, p
115769, 3, r
116335, 2, p
116535, 2, r
116835, 1, p
117253, 1, r
117502, 2, p
117752, 2, r
118569, 0, p
119252, 0, r
119535, 0, p
119869, 0, r
120169, 0, p
120419, 0, r
120719, 0, p
